step,train_loss,val_loss,lr,tokens_per_sec
3880,3.5825,,0.000521,54542
3900,3.5730,,0.000520,54405
3900,3.6110,3.5756,0.000520,
3920,3.5762,,0.000519,54448
3940,3.6154,,0.000518,54229
3960,3.5835,,0.000517,54362
3980,3.6374,,0.000516,54444
4000,3.6211,,0.000515,54367
4000,3.5817,3.5554,0.000515,
4020,3.5686,,0.000514,54435
4040,3.5712,,0.000513,54193
4060,3.6204,,0.000513,46898
4080,3.5998,,0.000512,54379
4100,3.6085,,0.000511,54331
4100,3.5746,3.5538,0.000511,
4120,3.5628,,0.000510,54449
4140,3.5928,,0.000509,54241
4160,3.5404,,0.000508,54369
4180,3.5782,,0.000507,54406
4200,3.5781,,0.000506,54402
4200,3.5821,3.5541,0.000506,
4220,3.5561,,0.000505,54383
4240,3.5715,,0.000504,54245
4260,3.5881,,0.000503,54373
4280,3.5849,,0.000502,54490
4300,3.5864,,0.000501,54362
4300,3.5315,3.5677,0.000501,
4320,3.5981,,0.000500,54423
4340,3.5852,,0.000499,54251
4360,3.5271,,0.000498,54359
4380,3.5798,,0.000497,54448
4400,3.5684,,0.000496,54434
4400,3.5435,3.5282,0.000496,
4420,3.5475,,0.000495,54423
4440,3.5099,,0.000494,54223
4460,3.5796,,0.000493,37719
4480,3.5179,,0.000492,54275
4500,3.5137,,0.000491,54501
4500,3.5458,3.5462,0.000491,
4520,3.4927,,0.000490,54513
4540,3.5423,,0.000489,54223
4560,3.5204,,0.000488,54354
4580,3.5534,,0.000487,54574
4600,3.5275,,0.000486,54414
4600,3.5325,3.5503,0.000486,
4620,3.5144,,0.000485,54478
4640,3.4725,,0.000484,54253
4660,3.5249,,0.000483,54361
4680,3.4789,,0.000482,54378
4700,3.5250,,0.000481,54395
4700,3.5252,3.5317,0.000481,
4720,3.5520,,0.000480,54431
4740,3.5682,,0.000479,54298
4760,3.5351,,0.000478,54316
4780,3.5728,,0.000477,54452
4800,3.5706,,0.000476,54505
4800,3.5132,3.5216,0.000476,
4820,3.5110,,0.000475,54381
4840,3.5154,,0.000474,54194
4860,3.5289,,0.000473,54443
4880,3.4979,,0.000471,54496
4900,3.5262,,0.000470,54472
4900,3.5172,3.5145,0.000470,
4920,3.5029,,0.000469,54443
4940,3.5159,,0.000468,54270
4960,3.4737,,0.000467,54407
4980,3.5438,,0.000466,54584
5000,3.4657,,0.000465,54450
5000,3.5134,3.5046,0.000465,
5020,3.5485,,0.000464,54425
5040,3.5170,,0.000463,54256
5060,3.5002,,0.000462,54394
5080,3.4555,,0.000461,54424
5100,3.5087,,0.000460,54429
5100,3.5009,3.4589,0.000460,
5120,3.5367,,0.000458,54481
5140,3.5288,,0.000457,54322
5160,3.4832,,0.000456,54541
5180,3.4524,,0.000455,54515
5200,3.4701,,0.000454,54459
5200,3.5088,3.4986,0.000454,
5220,3.4778,,0.000453,54526
5240,3.4676,,0.000452,54229
5260,3.4690,,0.000451,54319
5280,3.4778,,0.000449,54488
5300,3.5271,,0.000448,54428
5300,3.5183,3.4614,0.000448,
5320,3.5086,,0.000447,54462
5340,3.5393,,0.000446,54292
5360,3.4686,,0.000445,54384
5380,3.4947,,0.000444,54403
5400,3.4336,,0.000443,54383
5400,3.5010,3.5119,0.000443,
5420,3.4271,,0.000442,54400
5440,3.4971,,0.000440,54200
5460,3.4427,,0.000439,54358
5480,3.4998,,0.000438,54477
5500,3.5670,,0.000437,54447
5500,3.4973,3.4678,0.000437,
5520,3.4919,,0.000436,54448
5540,3.4764,,0.000435,54340
5560,3.5178,,0.000433,54340
5580,3.5137,,0.000432,54352
5600,3.5028,,0.000431,54502
5600,3.4823,3.4638,0.000431,
5620,3.4725,,0.000430,54357
5640,3.4810,,0.000429,54289
5660,3.4565,,0.000428,54349
5680,3.4693,,0.000426,54445
5700,3.4675,,0.000425,54398
5700,3.4695,3.4745,0.000425,
5720,3.5083,,0.000424,54472
5740,3.5157,,0.000423,54262
5760,3.4863,,0.000422,54344
5780,3.4598,,0.000421,54472
5800,3.4446,,0.000419,54406
5800,3.4699,3.4551,0.000419,
5820,3.4819,,0.000418,54476
5840,3.4868,,0.000417,54202
5800,3.5015,,0.000419,2946
5800,3.4209,3.4893,0.000419,
5820,3.4384,,0.000418,51593
5840,3.4154,,0.000417,90749
5860,3.4076,,0.000416,90563
5880,3.3562,,0.000415,91098
5900,3.3954,,0.000413,91429
5900,3.4217,3.4429,0.000413,
5920,3.4039,,0.000412,51754
5940,3.4278,,0.000411,90759
5960,3.3923,,0.000410,51877
5980,3.3736,,0.000409,90877
6000,3.3378,,0.000407,90949
6000,3.4199,3.4690,0.000407,
6020,3.3678,,0.000406,50677
6040,3.4206,,0.000405,90958
6060,3.4621,,0.000404,90184
6080,3.4511,,0.000403,90945
6100,3.4089,,0.000401,91436
6100,3.4082,3.4608,0.000401,
6120,3.4617,,0.000400,52258
6140,3.4883,,0.000399,90795
6160,3.4178,,0.000398,90527
6180,3.3879,,0.000397,91008
6200,3.4294,,0.000395,91018
6200,3.4303,3.4429,0.000395,
6220,3.4161,,0.000394,51526
6240,3.4216,,0.000393,90649
6260,3.3874,,0.000392,90403
6280,3.4550,,0.000390,90865
6300,3.4038,,0.000389,91315
6300,3.4426,3.4386,0.000389,
6320,3.4744,,0.000388,53156
6340,3.4150,,0.000387,90639
6360,3.4450,,0.000386,51059
6380,3.4197,,0.000384,90258
6400,3.4143,,0.000383,90733
6400,3.4010,3.4352,0.000383,
6420,3.4735,,0.000382,53690
6440,3.4944,,0.000381,90752
6460,3.4242,,0.000379,52179
6480,3.3927,,0.000378,90982
6500,3.3915,,0.000377,90951
6500,3.4165,3.4460,0.000377,
6520,3.4264,,0.000376,56754
6540,3.4346,,0.000374,91378
6560,3.4107,,0.000373,90162
6580,3.4095,,0.000372,90974
6600,3.4471,,0.000371,91190
6600,3.4130,3.4230,0.000371,
6620,3.3946,,0.000369,54912
6640,3.4403,,0.000368,90612
6660,3.4662,,0.000367,90184
6680,3.3553,,0.000366,56627
6700,3.4378,,0.000364,91058
6700,3.4136,3.4465,0.000364,
6720,3.4693,,0.000363,51332
6740,3.4416,,0.000362,90855
6760,3.3846,,0.000361,90064
6780,3.3976,,0.000359,91093
6800,3.4332,,0.000358,91049
6800,3.3791,3.4021,0.000358,
6820,3.3818,,0.000357,69624
6840,3.4403,,0.000356,90645
6860,3.4549,,0.000354,90559
6880,3.3887,,0.000353,52034
6900,3.3978,,0.000352,91029
6900,3.3767,3.4102,0.000352,
6920,3.3912,,0.000351,59781
6940,3.3637,,0.000349,91275
6960,3.3799,,0.000348,89772
6980,3.3838,,0.000347,90706
